name,group,year,value
Marin,North Bay,27,65
Contra Costa,East Bay,27,147
Alameda,East Bay,27,220
San Mateo,Peninsula,27,239
San Francisco,San Francisco,27,279
Santa Clara,South Bay,27,574
Napa,North Bay,28,9
Solano,North Bay,28,34
Sonoma,North Bay,28,54
Marin,North Bay,28,68
Contra Costa,East Bay,28,151
Alameda,East Bay,28,256
San Mateo,Peninsula,28,274
San Francisco,San Francisco,28,308
Santa Clara,South Bay,28,591
Napa,North Bay,29,10
Solano,North Bay,29,34
Sonoma,North Bay,29,54
Marin,North Bay,29,74
Contra Costa,East Bay,29,175
Alameda,East Bay,29,270
San Mateo,Peninsula,29,277
San Francisco,San Francisco,29,340
Santa Clara,South Bay,29,646
Napa,North Bay,30,14
Solano,North Bay,30,43
Sonoma,North Bay,30,58
Marin,North Bay,30,93
Contra Costa,East Bay,30,187
Alameda,East Bay,30,283
San Mateo,Peninsula,30,309
San Francisco,San Francisco,30,374
Santa Clara,South Bay,30,848
Napa,North Bay,31,15
Solano,North Bay,31,49
Sonoma,North Bay,31,73
Marin,North Bay,31,99
Contra Costa,East Bay,31,212
Alameda,East Bay,31,313
San Mateo,Peninsula,31,309
San Francisco,San Francisco,31,397
Santa Clara,South Bay,31,890
Napa,North Bay,32,18
Solano,North Bay,32,54
Sonoma,North Bay,32,85
Marin,North Bay,32,107
Contra Costa,East Bay,32,250
Alameda,East Bay,32,359
San Mateo,Peninsula,32,388
San Francisco,San Francisco,32,434
Santa Clara,South Bay,32,956
Napa,North Bay,32,18
Solano,North Bay,33,61
Sonoma,North Bay,33,91
Marin,North Bay,33,108
Contra Costa,East Bay,33,276
Alameda,East Bay,33,396
San Mateo,Peninsula,33,453
San Francisco,San Francisco,33,450
Santa Clara,South Bay,33,1019
Napa,North Bay,34,20
Solano,North Bay,34,73
Sonoma,North Bay,34,95
Marin,North Bay,34,118
Contra Costa,East Bay,34,307
Alameda,East Bay,34,443
San Mateo,Peninsula,34,486
San Francisco,San Francisco,34,497
Santa Clara,South Bay,34,1094
